product_id,category,name,collection,description,materials,price_usd,cost_usd,gemstones,craftsmanship,story,care_instructions
ECL011,Earrings,Obsidian Eclipse Earrings,Eclipse,Asymmetric pair - one full circle (sun) in matte black titanium one crescent (moon) in mirror-polished platinum - forms complete eclipse when brought together,Matte black titanium with vantablack coating (sun) and polished platinum (moon),13200,4224.0,Black diamond in sun (0.3ct) white diamond in moon crescent (0.3ct),Precision-cut complementary shapes with vantablack PVD coating on titanium and mirror-polish platinum finish,Light swallows darkness darkness reveals light. Sun in deepest black moon in brightest silver - the moment of totality. Asymmetry as cosmic truth. When aligned they create perfect eclipse. Duality in dramatic contrast.,Black coating is durable but avoid scratching against hard surfaces. Platinum mirror finish may need occasional professional buffing. Shapes nest together for storage. Diamonds secure in bezel settings.
ECL012,Earrings,Tesseract Dimension Drops,Eclipse,Geometric drops showing 4D hypercube projected into 3D space - cube within cube with impossible connections,18K white gold with architectural wire construction,13700,4384.0,Small diamonds at each vertex point (0.8ct total per earring),Hand-fabricated wire geometric construction creating optical illusion of dimensional impossibility,Beyond three dimensions. The tesseract exists in 4D but we perceive its 3D shadow. Identity beyond binary perception. Mathematical beauty of the impossible. Each vertex marked with diamond light - mapping coordinates of self.,Delicate wire construction - handle carefully. Geometric structure is surprisingly strong but avoid crushing. Diamonds at connection points secure. Store in protective case.
HAT001,Cuff,Crown of Strength Cuff,Hatching,Wide architectural cuff bracelet with crown-inspired geometric patterns and clean lines,18K rose gold with brushed titanium inlay,15800,5530.0,1.2ct black diamonds as accent points,Precision-cut titanium inlay technique combined with traditional goldsmithing,Delicate strength. The crown reimagined - not inherited but earned through grace. Geometric precision meets soft rose gold warmth. Power doesn't need to shout.,Wipe with microfiber cloth. Titanium requires no special care. Gold portions benefit from occasional professional polish.
HAT002,Earrings,Echoes of Voice Drop Earrings,Hatching,Elongated drop earrings with cascading tiers that catch light and movement,18K white gold,9500,3325.0,4ct diamonds in various cuts (brilliant pear marquise),Hand-linked articulated design mixed diamond cuts for maximum brilliance,Each tier amplifies your presence like an echo. Delicate but impossible to ignore. Movement creates subtle sound - you are heard. Light dances through each carefully placed diamond.,Store flat or hanging. Check clasps regularly. Professional cleaning annually recommended.
HAT003,Necklace,Warrior's Thread Choker,Hatching,Contemporary choker with delicate chain mail-inspired texture and bold front closure,18K white gold with blackened details,16200,5670.0,Small diamond accents throughout (1.5ct total),Ancient chain mail technique reimagined in precious metal with modern clasp innovation,Armor as adornment. Protection through beauty. The delicate chain mail references strength without aggression. Front clasp worn proudly - visibility is power.,Flexible and comfortable for daily wear. Check links periodically. Professional cleaning recommended.
HAT004,Back Necklace,Chrysalis Back Drape,Hatching,Dramatic back necklace with delicate chains that drape across shoulder blades like emerging wings,18K white gold with floating diamonds,22500,7875.0,3ct diamonds suspended in invisible setting creating floating effect,Multi-strand construction with invisible wire technique and adjustable closure,The moment before emergence. Wings forming. Worn on the back - private power revealed only by choice. Each diamond floats like light through a cocoon. Transformation in progress.,Delicate invisible setting requires gentle handling. Store flat. Professional cleaning essential to maintain invisible wire.
HAT005,Hair Brooch,Luminous Nest Hair Vine,Hatching,Delicate hair vine that weaves through updo with branch-like structure and scattered light,18K yellow gold with organic branch texture,8900,3115.0,Small diamonds and pearls scattered throughout (1ct diamonds 8 pearls),Hand-sculpted branch technique with flexible wire construction and hair-safe closures,A nest of light for your crown. Organic branches cradle pearls like eggs - potential and promise. Designed for everyday elegance not just special occasions. Weaves into messy buns braids or loose hair - elevating the ordinary into art.,Flexible but handle gently. Hair-safe closures won't catch or damage. Store in protective case to prevent bending.
HAT006,Ring,Feather Touch Ring,Hatching,Ultra-delicate feather-shaped ring with individually sculpted barbs creating air and movement,18K white gold with high polish,7200,2520.0,Tiny scattered diamonds along feather spine (0.4ct),Micro-sculpture technique with each feather barb individually formed and attached,Lightness as strength. The feather that tips the scale. So delicate it barely touches the finger yet architecturally sound. Proof that power can whisper.,Delicate design - avoid harsh impacts. Professional inspection recommended to check micro-connections.
HAT007,Necklace,Dawn Light Collar,Hatching,High collar necklace with geometric rays extending from base like rising sun,18K rose gold with mirror polish,19800,6930.0,Linear diamonds creating light rays (2.5ct),Articulated ray construction allowing neck movement with geometric precision,The first light of becoming. Rays that announce arrival. Geometric precision meets the softness of dawn. Worn high on the neck - claiming space with grace.,Articulated design comfortable despite substantial look. Check connection points annually. Professional polish maintains mirror finish.
HAT008,Bracelet,Silk Armor Bracelet,Hatching,Multi-strand delicate chain bracelet that layers to create density without weight,18K yellow gold chains with diamond-studded clasp,11200,3920.0,Clasp features 0.8ct diamonds in shield pattern,Hand-assembled multi-chain technique with decorative engineered clasp,Protection through multiplicity. Each strand is delicate alone but together they create armor. The paradox of feminine strength - soft and unbreakable simultaneously.,Chains may tangle if not stored carefully. Can be worn as fewer strands for variety. Professional untangling available if needed.
HAT009,Pendant,Chrysalis Locket,Hatching,Teardrop locket with hand-engraved cocoon texture and hidden opening mechanism,18K rose gold with matte and polished contrast,9800,3430.0,Optional: tiny diamond at opening point (0.1ct),Hand-engraved texture work with secret push-mechanism opening and photo space inside,What you keep inside shapes you. The cocoon that holds your becoming. Opens only for those who know where to press - your secrets remain yours.,Locking mechanism is secure and subtle. Photo space fits small images. Engraving requires careful cleaning to preserve detail.
HAT010,Back Necklace,Wingspan Back Chain,Hatching,Delicate chain construction that drapes across upper back creating wing-like silhouette,18K white gold with architectural chain structure,18500,6475.0,Small diamonds at wing tips and center point (1.2ct total),Multi-point attachment system with adjustable draping and architectural engineering,Wings you're growing. Worn on the back - transformation others can't see until you choose to reveal. Architecture that moves with breath. Becoming is a process.,Complex multi-point attachment requires practice to put on. Professional adjustment available for perfect fit.
HAT011,Hair Brooch,Spine Curve Hair Pin,Hatching,Long sculptural hair pin following the organic curve of a vertebral column with baroque pearls as intervertebral spaces,18K white gold with hand-textured vertebrae structure,14200,4970.0,Baroque pearls (6 pieces) spaced along spine small diamonds at tip (0.3ct),Hand-sculpted vertebrae texture with individually set baroque pearls and organic metalwork,Your backbone made visible. Each vertebra a moment of strength. Pearls cushion like the body protects itself. Wear your spine on the outside - structural beauty the architecture that holds you upright. Organic and unapologetic.,Sculptural form is sturdy despite organic appearance. Baroque pearls are natural and unique to each piece. Pin mechanism is secure. Handle by base when inserting into hair.
HAT012,Earrings,Whisper Ear Climbers,Hatching,Delicate ear climbers that trace up the ear curve with organic vine-like form,18K rose gold with scattered micro diamonds,6900,2415.0,Scattered micro diamonds throughout (0.6ct total),Flexible ear climber construction with secure base and gentle curve following ear shape,The quiet announcement. Climbs the ear like morning light. Delicate enough to be discovered not immediately seen. Power in subtlety.,Adjust curve gently to match your ear. Secure at base with small post. Professional adjustment available if needed.
AMA001,Cuff,Conquest Statement Cuff,Amazon,Massive architectural cuff with bold geometric cutouts and imposing presence,18K yellow gold with oxidized black rhodium geometric insets,28500,8550.0,5ct emeralds in geometric channel settings black diamonds (2ct),Heavy gauge metalwork with precision-cut gemstone channels and substantial weight,Unapologetic presence. This cuff doesn't whisper - it declares. Emeralds represent growth and power. Geometric cutouts create armor-like strength. Substantial weight is intentional - power has mass.,Substantial piece designed to make statement. Heavy but balanced. Professional cleaning maintains black rhodium contrast.
AMA002,Necklace,Sovereign Collar Necklace,Amazon,Bold wide collar with geometric pattern and large central stone,18K rose gold with angular design,35000,10500.0,15ct central citrine surrounding garnets (8ct total),Rigid collar construction with central stone setting and geometric metalwork,Command attention. The collar of a ruler. Citrine burns like captured sunlight - energy and confidence made visible. Garnets frame with fire. Wear this and own every room.,Rigid collar requires proper sizing - professional fitting recommended. Central citrine is substantial but secure.
AMA003,Ring,Warrior Queen Ring,Amazon,Oversized cocktail ring with geometric throne-like structure,18K white gold with architectural elements,18900,5670.0,8ct rectangular-cut ruby as throne centerpiece diamond accents (1.5ct),Complex architectural construction with elevated central stone and geometric supports,Your throne. Your rules. Ruby represents passion and power. Geometric structure elevates the stone like a ruler on a throne. Oversized and unapologetic.,Substantial ring - not for everyday delicate tasks. Ruby is durable. Professional checking of prongs recommended annually.
AMA004,Hair Brooch,Crown Spike Hair Dagger,Amazon,Long architectural hair pin with geometric spike design and bold presence,Titanium with 18K gold geometric insets,9800,2940.0,Large blue sapphire at base (3ct) small diamonds along length (0.8ct),Titanium construction for strength with gold inlay and secure hair penetration design,A weapon of beauty. The spike declares: approach with respect. Sapphire blue like deep ocean pressure. Geometric gold breaks up the titanium like lightning. Functional and fierce.,Long spike requires careful handling when inserting. Titanium is extremely strong. Sapphire setting is secure.
AMA005,Bracelet,Amazonian Link Bracelet,Amazon,Chunky link bracelet with each link featuring different colored gemstone,18K yellow gold links,24500,7350.0,Multi-stone: emeralds sapphires rubies citrines amethysts (12ct total across all links),Individual stone-set links with secure clasp and substantial weight,A story in stones. Each color represents a facet of power: emerald (growth) sapphire (wisdom) ruby (passion) citrine (energy) amethyst (intuition). Wear them all.,Heavy substantial bracelet. Each link individually set. Can be sized by removing links if needed.
AMA006,Earrings,Thunder Statement Earrings,Amazon,Large geometric drop earrings with bold angular design and color contrast,18K rose gold with sharp geometric angles,15200,4560.0,Yellow sapphires and orange garnets in alternating pattern (6ct total),Lightweight construction despite size using hollow-form technique and secure posts,Lightning doesn't apologize. Angular geometry catches light like faceted thunder. Yellow and orange stones create sunset fire. Large enough to be seen from across the room.,Surprisingly lightweight despite size. Secure posts with large backs. Professional cleaning maintains stone brilliance.
AMA007,Necklace,Tribal Torque Necklace,Amazon,Rigid open torque necklace with textured surface and large terminal stones,18K yellow gold with hammered texture,29800,8940.0,Two large turquoise stones at terminals (8ct each) coral accents,Hand-hammered surface texture with substantial gauge metal and secure terminal stone settings,Ancient power modern execution. Turquoise protects and empowers. Coral brings life force. Open torque represents freedom within strength. Hammered texture shows the work of creation.,Rigid torque requires proper sizing - professional fitting essential. Hammered texture intentionally irregular. Terminal stones are substantial.
AMA008,Ring,Citadel Fortress Ring,Amazon,Architectural ring with tiered geometric structure resembling fortification,18K white gold with blackened details,16500,4950.0,Central yellow diamond (2ct) black diamond accents in geometric pattern (1ct),Multi-level construction with geometric precision and mixed metal finish,Your fortress. Built by you defended by you. Yellow diamond shines from the center like a beacon. Black diamonds create the walls. Geometric tiers show intentional construction.,Substantial architectural ring. Multiple levels require careful storage to prevent catching. Professional cleaning for blackened details.
AMA009,Hair Brooch,Lioness Mane Hair Comb,Amazon,Dramatic hair comb with radiating metal rays and central stone,18K yellow gold with radiating architectural elements,14200,4260.0,Central amber stone (4ct) small diamond tips on rays (1.2ct),Hand-fabricated ray construction with flexible comb base and substantial central stone,The lioness owns her mane. Radiating rays like sun or crown. Amber holds ancient energy - time compressed into power. Each ray tipped with diamond light.,Flexible comb base secures in various hairstyles. Rays are sturdy but store carefully. Amber is softer - avoid impacts.
AMA010,Brooch,Shield Insignia Brooch,Amazon,Large geometric shield-shaped brooch with bold enamel work and central stone,18K yellow gold with red and black enamel,19500,5850.0,Central ruby (5ct) diamond border (2ct),Traditional enamel technique with geometric pattern and secure pin mechanism,Your insignia. Red enamel for passion and power. Black for the unknown you've conquered. Ruby burns at the center. Wear it over your heart - armor that announces rather than hides.,Enamel requires gentle handling - avoid impacts. Pin mechanism is secure and substantial. Professional enamel repair available if needed.
VAN001,Watch,Void Automatic Watch,Vanta,Ultra-minimal automatic watch with deep matte black dial and no visible markers,Matte black stainless steel case with DLC coating,24500,11025.0,Sapphire crystal exhibition back,Swiss automatic movement with 60-hour power reserve and anti-reflective sapphire,Time in the void. The blackest black dial absorbs light - time told by feeling and the subtle hands. DLC coating creates vanta-black effect. Pure minimalism.,DLC coating extremely scratch-resistant. Water-resistant to 100m. Service every 5 years. Black dial shows no wear.
VAN002,Watch,Eclipse Skeleton Watch,Vanta,Skeletonized watch with blackened movement visible through dial and back,Black titanium case with sapphire front and back,32000,14400.0,Double sapphire crystal revealing full movement,Swiss hand-wound skeleton movement with black PVD treatment and architectural bridges,The machine visible. Movement blackened and exposed - beauty in mechanical honesty. Architectural bridges create geometric sculpture. Tech as art.,Hand-wound requires winding every 2 days. Skeleton movement visible to dust - regular professional cleaning essential. Water-resistant to 30m.
VAN003,Watch,Singularity Digital Watch,Vanta,Cutting-edge digital watch with e-ink display and minimalist touch interface,Black ceramic case with scratch-proof coating,18500,8325.0,Curved sapphire crystal protecting e-ink display,Custom digital movement with e-ink display technology and wireless charging,Future minimalism. E-ink display appears as pure black until touched. No battery anxiety - 6 month charge. Touch interface hidden until activated. Tech that disappears.,Charge wirelessly. E-ink visible in direct sunlight. Water-resistant to 50m. Software updates available. Display never burns in.
VAN004,Watch,Horizon GMT Watch,Vanta,Minimalist GMT watch with clean dial and subtle second timezone indication,Brushed black stainless steel with matte finish,22800,10260.0,Sapphire crystal date window,Swiss automatic GMT movement with 48-hour power reserve and quick-set GMT hand,Time across borders. Second timezone indicated by subtle hand. Matte black dial with minimal markers. Function without decoration. Built for global movement.,GMT hand adjustable independently. Date quick-set. Water-resistant to 100m. Matte finish hides minor scratches naturally.
VAN005,Watch,Monolith Rectangle Watch,Vanta,Architectural rectangular case with clean geometric lines and no curves,Black titanium rectangular case,26500,11925.0,Rectangular sapphire crystal exhibition back,Swiss automatic movement adapted for rectangular case with custom rotor design,Geometry of time. Rectangle disrupts watch convention. Sharp angles and flat planes. Titanium keeps it light despite substantial presence. Architecture on the wrist.,Rectangular case wears differently - try before sizing. Titanium is lightweight. Water-resistant to 50m. Service every 5 years.
VAN006,Watch,Quantum Minimal Watch,Vanta,Ultra-thin automatic watch with obsidian-thin profile and minimalist dial,Black stainless steel ultra-thin case,28900,13005.0,Anti-reflective sapphire crystal,Ultra-thin Swiss automatic movement (3.2mm) with micro-rotor and 50-hour power reserve,Barely there. 7mm total case thickness including crystal. Micro-rotor movement enables impossible thinness. Slides under any cuff. Tech pushing physical limits.,Ultra-thin means delicate - avoid impacts. Water-resistant to 30m only. Service every 4 years. Strap changes require professional care.
VAN007,Watch,Stealth Chronograph,Vanta,Blacked-out chronograph with invisible subdials that appear only in certain light,Black titanium with matte PVD coating,35000,15750.0,Sapphire crystal with anti-reflective coating,Swiss automatic chronograph movement with black PVD treatment and hidden subdial technique,Invisible complexity. Chronograph subdials nearly invisible on black dial - revealed only by angle and light. Function hidden until needed. Stealth sophistication.,Chronograph functions are precise - avoid water contact when pushers activated. Water-resistant to 100m. Black PVD may show wear over years - embrace it.
VAN008,Watch,Abyss Dive Watch,Vanta,Technical dive watch with deep matte black and minimalist dive bezel,Black ceramic case with unidirectional bezel,29500,13275.0,Thick sapphire crystal rated to 300m,Swiss automatic dive movement with 70-hour power reserve and luminescent hands,Darkness at depth. Rated to 300m but refined enough for dinner. Ceramic case never scratches. Minimal bezel markings - only what's necessary. Tech meeting elegance.,Screw-down crown. Unidirectional bezel precise. Ceramic case virtually indestructible. Luminous hands and markers. Service every 5-6 years.
